"","Local.authority","mean_outsourcing","outsourcing_category"
"1","WINDSOR AND MAIDENHEAD",71.6666666666667,"high-outsourcing"
"2","RICHMOND UPON THAMES",71,"high-outsourcing"
"3","KINGSTON UPON THAMES",70,"high-outsourcing"
"4","NEWHAM",60.3333333333333,"high-outsourcing"
"5","HOUNSLOW",60,"high-outsourcing"
"6","SUTTON",59.3333333333333,"high-outsourcing"
"7","READING",57.3333333333333,"high-outsourcing"
"8","BEDFORD",57,"high-outsourcing"
"9","SWINDON",57,"high-outsourcing"
"10","BRENT",56,"high-outsourcing"
"11","LUTON",54.6666666666667,"high-outsourcing"
"12","MEDWAY",54,"high-outsourcing"
"13","HILLINGDON",53.6666666666667,"high-outsourcing"
"14","DERBY",53.3333333333333,"high-outsourcing"
"15","NOTTINGHAMSHIRE",53.3333333333333,"high-outsourcing"
"16","BARNET",52.6666666666667,"high-outsourcing"
"17","LAMBETH",52.6666666666667,"high-outsourcing"
"18","LEWISHAM",51.6666666666667,"high-outsourcing"
"19","THURROCK",51.6666666666667,"high-outsourcing"
"20","REDBRIDGE",51.3333333333333,"high-outsourcing"
"21","CAMBRIDGESHIRE",50.6666666666667,NA
"22","NOTTINGHAM",50.6666666666667,NA
"23","WANDSWORTH",50.3333333333333,NA
"24","PLYMOUTH",49.6666666666667,NA
"25","HARINGEY",49,NA
"26","NORFOLK",49,NA
"27","BRACKNELL FOREST",48.6666666666667,NA
"28","BUCKINGHAMSHIRE",48.6666666666667,NA
"29","ROTHERHAM",48.6666666666667,NA
"30","HARROW",48.3333333333333,NA
"31","SLOUGH",48.3333333333333,NA
"32","WESTMINSTER",48.3333333333333,NA
"33","BLACKPOOL",48,NA
"34","OXFORDSHIRE",48,NA
"35","ENFIELD",47.3333333333333,NA
"36","GREENWICH",47.3333333333333,NA
"37","WORCESTERSHIRE",47,NA
"38","EALING",46.6666666666667,NA
"39","SOUTHEND ON SEA",46.6666666666667,NA
"40","TOWER HAMLETS",46.6666666666667,NA
"41","WEST SUSSEX",46.3333333333333,NA
"42","DONCASTER",46,NA
"43","WALSALL",46,NA
"44","BIRMINGHAM",45.6666666666667,NA
"45","KENSINGTON AND CHELSEA",45.6666666666667,NA
"46","BROMLEY",45.3333333333333,NA
"47","ISLINGTON",45.3333333333333,NA
"48","SOUTHWARK",45.3333333333333,NA
"49","SURREY",45.3333333333333,NA
"50","HACKNEY",45,NA
"51","NORTH NORTHAMPTONSHIRE",45,NA
"52","SANDWELL",45,NA
"53","STOKE ON TRENT",45,NA
"54","WALTHAM FOREST",45,NA
"55","CENTRAL BEDFORDSHIRE",44.6666666666667,NA
"56","SOMERSET",44,NA
"57","WEST NORTHAMPTONSHIRE",44,NA
"58","DORSET",43.6666666666667,NA
"59","PETERBOROUGH",43.6666666666667,NA
"60","STAFFORDSHIRE",43.6666666666667,NA
"61","CROYDON",43.3333333333333,NA
"62","LEICESTERSHIRE",43.3333333333333,NA
"63","SOLIHULL",43.3333333333333,NA
"64","DERBYSHIRE",43,NA
"65","DUDLEY",43,NA
"66","MILTON KEYNES",43,NA
"67","HEREFORDSHIRE",41.6666666666667,NA
"68","RUTLAND",41.6666666666667,NA
"69","HAMPSHIRE",41.3333333333333,NA
"70","HAVERING",41.3333333333333,NA
"71","SOUTHAMPTON",40.6666666666667,NA
"72","ST HELENS",40.6666666666667,NA
"73","BATH AND NORTH EAST SOMERSET",40.3333333333333,NA
"74","WARWICKSHIRE",40.3333333333333,NA
"75","HERTFORDSHIRE",40,NA
"76","CAMDEN",39.6666666666667,NA
"77","MANCHESTER",39.6666666666667,NA
"78","MERTON",39.3333333333333,NA
"79","TELFORD AND WREKIN",39.3333333333333,NA
"80","CHESHIRE EAST",38.3333333333333,NA
"81","BURY",38,NA
"82","HALTON",37.6666666666667,NA
"83","LIVERPOOL",37.6666666666667,NA
"84","GLOUCESTERSHIRE",37,NA
"85","BRISTOL",36.6666666666667,NA
"86","DEVON",36.6666666666667,NA
"87","ESSEX",36.6666666666667,NA
"88","TAMESIDE",36.6666666666667,NA
"89","BEXLEY",36.3333333333333,NA
"90","HAMMERSMITH AND FULHAM",36.3333333333333,NA
"91","SHROPSHIRE",36,NA
"92","TORBAY",36,NA
"93","WILTSHIRE",36,NA
"94","COVENTRY",35.3333333333333,NA
"95","CHESHIRE WEST AND CHESTER",35,NA
"96","SEFTON",35,NA
"97","WESTMORLAND AND FURNESS",35,NA
"98","EAST SUSSEX",34.6666666666667,NA
"99","KENT",34.6666666666667,NA
"100","KIRKLEES",34.6666666666667,NA
"101","SOUTH GLOUCESTERSHIRE",34.6666666666667,NA
"102","WOKINGHAM",34.6666666666667,NA
"103","CUMBERLAND",34,NA
"104","CUMBRIA",34,NA
"105","ISLE OF WIGHT",34,NA
"106","LANCASHIRE",34,NA
"107","SOUTH TYNESIDE",34,NA
"108","WARRINGTON",33.6666666666667,NA
"109","MIDDLESBROUGH",33.3333333333333,NA
"110","BRADFORD",33,NA
"111","BARKING AND DAGENHAM",32.6666666666667,NA
"112","BRIGHTON AND HOVE",32.3333333333333,NA
"113","CALDERDALE",32.3333333333333,NA
"114","SUFFOLK",32.3333333333333,NA
"115","WAKEFIELD",32,NA
"116","SHEFFIELD",31.6666666666667,NA
"117","BARNSLEY",31.3333333333333,NA
"118","KNOWSLEY",31,NA
"119","LEICESTER",31,NA
"120","NORTH SOMERSET",31,NA
"121","WEST BERKSHIRE",30,NA
"122","WIGAN",30,NA
"123","BOURNEMOUTH CHRISTCHURCH AND POOLE",29.6666666666667,NA
"124","NORTH EAST LINCOLNSHIRE",29.3333333333333,NA
"125","KINGSTON UPON HULL",29,NA
"126","BLACKBURN WITH DARWEN",28.6666666666667,NA
"127","EAST RIDING OF YORKSHIRE",28.3333333333333,NA
"128","CORNWALL",28,NA
"129","STOCKTON ON TEES",26.3333333333333,NA
"130","DARLINGTON",26,NA
"131","WOLVERHAMPTON",26,NA
"132","WIRRAL",25,NA
"133","COUNTY DURHAM",24.3333333333333,"low-outsourcing"
"134","LEEDS",24.3333333333333,"low-outsourcing"
"135","BOLTON",23.3333333333333,"low-outsourcing"
"136","OLDHAM",23.3333333333333,"low-outsourcing"
"137","STOCKPORT",23,"low-outsourcing"
"138","LINCOLNSHIRE",22.3333333333333,"low-outsourcing"
"139","ROCHDALE",22.3333333333333,"low-outsourcing"
"140","TRAFFORD",21.6666666666667,"low-outsourcing"
"141","SALFORD",21,"low-outsourcing"
"142","HARTLEPOOL",18.3333333333333,"low-outsourcing"
"143","SUNDERLAND",18.3333333333333,"low-outsourcing"
"144","REDCAR AND CLEVELAND",18,"low-outsourcing"
"145","GATESHEAD",17.3333333333333,"low-outsourcing"
"146","NORTH TYNESIDE",17,"low-outsourcing"
"147","YORK",17,"low-outsourcing"
"148","NORTHUMBERLAND",15.3333333333333,"low-outsourcing"
"149","PORTSMOUTH",15.3333333333333,"low-outsourcing"
"150","NEWCASTLE UPON TYNE",12.3333333333333,"low-outsourcing"
"151","NORTH YORKSHIRE",4.66666666666667,"low-outsourcing"
"152","NORTH LINCOLNSHIRE",3,"low-outsourcing"
